dataset;categorie;subcategorie;question;question_type;right_answer;first_try_answer;first_try_correct;first_try_max_prob;first_try_entropy;first_try_margin;first_try_verbal;second_try_answer;second_try_correct;second_try_max_prob;second_try_entropy;second_try_margin;second_try_verbal
strategyqa_dev;dummy_categorie;dummy_subcategorie;Will the Albany in Georgia reach a hundred thousand occupants before the one in New York?;multi_str;['False'];['no'];False;90.55;89.63;0.81;95.0;['no'];False;100.0;99.98;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is the language used in Saint Vincent and the Grenadines rooted in English?;multi_str;['True'];['yes'];False;99.64;98.72;0.99;95.0;['yes'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is greed the most prevalent of the Seven Deadly Sins?;multi_str;['False'];['no'];False;95.51;90.06;0.91;95.0;['no'];False;99.97;99.86;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would the top of Mount Fuji stick out of the Sea of Japan? ;multi_str;['True'];['no'];False;92.32;86.73;0.85;95.0;['yes'];False;99.31;98.03;0.99;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Was Lil Jon's top ranked Billboard song a collaboration with a member of The Lox?;multi_str;['False'];['no'];False;99.37;97.88;0.99;95.0;['no'];False;99.91;99.62;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is Miami a city on the American West Coast?;multi_str;['False'];['no'];False;99.44;98.18;0.99;100.0;['no'];False;100.0;100.0;1.0;100.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can the Swiss Guard fill the Virginia General Assembly chairs?;multi_str;['False'];['no'];False;90.32;89.4;0.81;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Did any country in Portuguese Colonial War share Switzerlands role in WWII?;multi_str;['True'];['no'];False;99.51;98.04;0.99;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would a Pict be confused by Old English?;multi_str;['True'];['no'];False;99.44;98.35;0.99;95.0;['no'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Could Lil Wayne legally operate a vehicle on his own at the beginning of his career?;multi_str;['False'];['no'];False;97.86;95.39;0.96;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Are you likely to find a crucifix in Karachi?;multi_str;['False'];['yes'];False;90.77;84.89;0.83;85.0;['yes'];False;99.77;99.23;1.0;85.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Was a person sold a Creative Commons License for Boticelli's The Birth of Venus ripped off?;multi_str;['True'];['no'];False;98.89;96.84;0.98;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Could ten gallons of seawater crush a six year old?;multi_str;['True'];['no'];False;99.13;97.59;0.98;95.0;['no'];False;99.99;99.94;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Do more anchovy live in colder temperature waters than warmer?;multi_str;['False'];['no'];False;99.25;97.66;0.99;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is 3D printing able to make adenovirus?;multi_str;['False'];['no'];False;97.7;95.04;0.95;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would George Fox support stoning?;multi_str;['False'];['no'];False;99.52;98.32;0.99;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is watching  Star Wars necessary to know who Darth Vader is?;multi_str;['False'];['no'];False;96.92;96.17;0.94;95.0;['no'];False;99.64;99.04;0.99;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can a computer be programmed entirely in Boolean algebra?;multi_str;['True'];['no'];False;95.78;92.92;0.92;95.0;['no'];False;99.99;99.94;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Did Christina Aguilera turn her chair around for Kelly Clarkson on The Voice?;multi_str;['False'];['no'];False;78.84;78.58;0.58;95.0;['no'];False;96.74;93.89;0.93;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would Amy Winehouse's death have been prevented with Narcan?;multi_str;['False'];['no'];False;98.29;96.03;0.97;60.0;['no'];False;100.0;99.99;1.0;60.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Does a mongoose have natural camouflage for desert?;multi_str;['True'];['no'];False;97.62;94.74;0.95;90.0;['no'];False;100.0;99.98;1.0;90.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;If someone loves buffalo wings do they enjoy capsaicin?;multi_str;['True'];['possibly', 'yes'];False;98.77;96.35;0.98;70.0;['possibly', 'yes'];False;100.0;99.99;1.0;70.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Was Bruce Lee absent from the 1964 University of Washington graduation ceremony?;multi_str;['True'];['yes'];False;98.92;96.58;0.98;95.0;['yes'];False;99.09;97.57;0.98;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Could Brooke Shields succeed at University of Pennsylvania?;multi_str;['True'];['yes'];False;88.06;81.43;0.8;95.0;['yes'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would students at Marist have to petition to get a rowing team?;multi_str;['False'];['no'];False;92.94;90.1;0.88;95.0;['no'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Could a hundred thousand lolcats fit on a first generation iPhone?;multi_str;['True'];['no'];False;97.25;94.21;0.95;95.0;['no'];False;99.98;99.9;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Does Rusev have to worry about human overpopulation in his homeland?;multi_str;['False'];['no'];False;98.24;96.74;0.97;95.0;['no'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Does Princess Peach's dress resemble a peach fruit?;multi_str;['False'];['yes', 'no'];False;99.66;98.83;0.99;70.0;['yes', 'no'];False;99.96;99.83;1.0;70.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Are psychiatric patients welcome to join the United States Air Force?;multi_str;['False'];['yes'];False;81.64;73.46;0.71;95.0;['yes'];False;99.45;99.21;0.99;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can I hold Bing in a basket?;multi_str;['False'];['no'];False;89.91;85.27;0.81;95.0;['no'];False;99.85;99.46;1.0;95.0
